config_id,g_min,g_max,alpha,beta,pi_p,pi_r,pi_q,c_u,c_o,major_share,major_player_frac
31,0.141,0.4505,0.1931,0.3283,7.1861,4.8676,5.5121,14.2637,2.2986,0.8925,0.2609
32,0.4257,0.7718,0.9704,0.1786,7.7752,2.0619,3.9756,10.953,3.7785,0.6255,0.2819
33,0.2546,0.7086,0.5766,0.2547,6.2527,1.0068,11.3302,12.6152,3.7374,0.7968,0.3012
34,0.1957,0.5237,0.6642,0.3302,3.8835,4.3921,9.4778,8.8052,1.8918,0.6634,0.2207
35,0.1683,0.5192,0.4204,0.9404,6.0639,4.6112,8.5396,8.8152,2.9657,0.5002,0.1861
36,0.222,0.7539,0.6547,0.465,4.653,1.8548,7.2587,18.4189,4.0821,0.5679,0.1254
37,0.2562,0.8094,0.3352,0.8184,6.5068,3.6912,5.0218,7.1861,0.6099,0.5979,0.2425
38,0.3899,0.719,0.4144,0.6298,3.1666,3.7854,7.4494,7.9038,3.4523,0.5022,0.3253
39,0.358,0.7007,0.4251,0.1759,7.7478,3.0718,3.452,7.9872,4.3175,0.6826,0.3404
40,0.317,0.99,0.5955,0.95,7.3486,3.4506,9.4735,12.0765,4.2376,0.7191,0.3692
41,0.3475,0.8373,0.2592,0.2472,5.826,4.0633,7.6917,14.028,1.7357,0.531,0.1857
42,0.1587,0.5866,0.5402,0.1384,3.3876,3.7758,9.3578,5.0277,2.3342,0.717,0.2247
43,0.1327,0.6008,0.9048,0.5841,6.1731,4.4269,9.8904,10.0861,0.5265,0.6407,0.326
44,0.3914,0.99,0.419,0.7475,5.2768,3.413,4.9848,7.5107,2.4613,0.5116,0.2008
45,0.3217,0.7834,0.165,0.4674,2.7658,3.489,3.2427,10.3043,3.0398,0.5108,0.2928
46,0.1043,0.589,0.0503,0.3791,3.27,2.3074,9.8511,10.066,3.884,0.8328,0.1757
47,0.0828,0.3905,0.5394,0.9999,4.0998,3.6006,10.0311,14.4281,3.894,0.8798,0.1598
48,0.0582,0.4191,0.1262,0.6695,5.3838,1.8719,9.2952,16.2704,1.2551,0.7429,0.3244
49,0.0958,0.7235,0.9647,0.1081,2.1541,2.2478,9.0961,19.3308,2.2849,0.786,0.1228
